Area_Projeto;Arquivada
SICAC;false
SISCC#1;true
SID54#1;true
SIAPP;false
Coordenação de Requisitos e Teste Independente – Rio de Janeiro;true
SIBDC#1;true
SINAF-PCU;true
SICDC_OLD;true
SICDC;false
SIBAN_OLD;true
SIDEC;false
SICRI#1;true
SIBDC;true
SIFGI_old;true
SIFGE_old;true
SICOL#1;true
Teste_Estruturado_SP;true
SIGDP#1;true
SICRI;false
SIFGU;false
SIWEG;false
SIAPR;true
SIBEC;false
TEST;true
SIICO (0785);true
SIGTX;true
SIINF#1;true
SIWCC;true
SIBEC_OLD;true
Gestão de demandas de TI Treinamento;true
SIBEN;false
SIEVJ#1;true
SICUT#1;true
SIFOB;false
SIIRC#1;true
SIWGE#1;true
SICDN;true
SIWGE;false
SIATM#1;true
SITAH;false
SIERE#1;true
SIFOU#1;true
SIGJU;true
SIABE_OLD;true
SIPAN_HOMOLOGAÇÃO;false
SIATS_OLD;true
SIOCS;false
SIROT_OLD;true
SICCL_OLD;true
SIUNI_OLD;true
SIVPF;false
SIGTR_OLD;true
SIOMS;false
SITAEWEB;true
SISDE_SP;false
SICID - SP;false
Coordenação Projetos de Desenvolvimento Externo - CEDESRJ113;true
SIROT;false
SISBM;true
SIIPP;true
SIFLX_OLD;true
SITMO_OLD;true
SIRET_OLD;true
SIOCS_OLD;true
Mapeamento de Habilidades;true
SIMAA_OLD;true
teste;true
SIESP;false
SIISO;false
SIDES;false
SICET.AreaInvalida;true
SITLO;false
SICUC_OLD;true
Coordenação de Gestão de Contratos – BR;false
SIPAQ;true
SIFAP;false
SIICO - LOCALIDADES RJ;false
SISFI_CAMBIO_OLD;true
SIICO - UNIDADES RJ;false
SIICO - SISTEMAS RJ_OLD;true
Treinamento Gestão de Demandas de TI;true
SIFCV_old;true
SIGCT ARQUIVADA;true
PEDEPSP_OLD;true
Central de Incidentes - São Paulo;false
Gestão de Contratos - BR;true
SIERC;false
SICAL_OLD;true
SIAMS;false
PEDEPBR;false
SIGCP;false
Implantacao RJ Gestao de Demandas;true
SICAL;false
SICAP_CAPCAIXA;false
PECAC;false
Base de Conhecimento - Brasília;false
SIGPB;false
SILCE#1;true
SILIS;false
SIDEO#1;true
Escritório de Mobilidade;false
SIEGH_OLD_ARQUIVADA;true
SIINB - Substituído pelo SIGBD;true
SICAA;true
SIOPI-OLD_ARQUIVADA;true
SIFDM;true
SIAPT;false
SIAPV;true
SIORC;true
SICOU;true
SISPB MONTED;false
SISFIN - BR;false
SIAPP - NÃO INICIALIZADO;true
Teste_Unificado_SP;true
Coordenação Governança Corporativa;false
SICQM_OLD;true
SIGIP;false
ARQUIVAR;true
SICRD_OLD;true
GESOL;true
SICNR;false
CEDESRJ062 - Métricas;true
SICOT;true
SICOP_old;true
SIIGS#1;true
SIFUG_old;true
MIGRA1;true
SIPIS_OLD;true
SICRB;false
SIIGS;true
SIFGS_old;true
SIIND_old;true
SICEM#1;true
SISRP;true
SICLI;false
SIU01;true
SIUMP_OLD;true
SIPPT;true
SINGE;false
SISCF;true
SIRBA#1;true
SIIAC;false
SILOC#1;true
SIGPR;true
SICSH;true
SIGRQ;true
SIPRA#1;true
SIU22;true
SIMDC#1;true
SIU34#1;true
TIME DE EXECUÇÃO GT PRESI RPS;false
SIEBR#1;true
SIA18;true
SITMA#1;true
SIEVE#1;true
SIAVS#1;true
SISCM;true
SIU34;true
TESTE_AtualizaçãoXML03;true
SIPUB;true
SIPET;true
SICHC;false
Escritório de Projetos - CEDESBR;false
PEFUG_DESENV_ARQUIVADA;true
Piloto Cenario Agil - CNDESRJ;true
SIFCI;true
CEDESRJ060 - Coordenação da Qualidade do Processo;false
SICAS;false
SICQL;false
SICAR;false
PECOC - SIGRC;true
SIAPV_OLD;true
SIAFG_OLD;true
SIMAT;true
SIGAL#1;true
SIJUR;false
SIVPF_OLD;true
SISAG_OLD;true
SIAAD;false
SICOV;false
Planos Operacionais;true
SISAG;false
SIROB;true
SIICO Feriados;true
SIGMS_OLD;true
SIPCR;true
SIICO Revitalização;true
SIMOP;true
SIGRB;true
SIAGT_OLD;true
SITAR;true
GEMOD - Modelos e Contratos;true
SIRN3_OLD;true
SIFGS_SP_OLD;true
SICDT;false
SIACL;false
SIGDB_OLD;true
SISR4;false
SICCH_CLIENTE_OLD;true
SIAPS (1145);true
SIMOC_OLD;true
SIMTC_OLD;true
SICID - Cartão do Cidadão;true
SIGCT#1;true
SISREP;true
SINAV#1;true
Modelo de Atendimento;true
SIICO - SISTEMAS RJ;false
SITAG;false
SIGDC;false
#SICSF_Erro;true
SICDU#1;true
teste001;true
SIPLA#1;true
SISREP#1;true
SIFGE_OLD;true
Mapeamento de Habilidade;true
SICDU;false
Treinamento Projeto Piloto;true
SIAGP#1;true
SIABC;true
CEPTIBR - Central de Atendimento;true
SID03_OLD;true
SIGCP#1;true
SI002;true
SIPGC;false
SIAMI_OLD;true
SIAMI;false
SIEDT;false
SICFM;false
SIGSC#1;true
SIMBR#1;true
SIPGC#1;true
SICOB_COBCAIXA;false
SISUR;false
SIWIN;false
SIFCF;false
SITRP;false
SISUR_old;true
SIDAT;false
SIFGS;false
SIREM;false
SIMUM;true
SIBND#1;true
SIPCL#1;true
SIGPE#1;true
SIGET#1;true
SIGRO;false
SIELT;false
SICOA#1;true
SIPCC#1;true
CEDESRJ655;true
SIFIT#1;true
SICAN#1;true
SIFCT#1;true
SICGR;false
SIAGR PEDeS;true
SIFCT;true
SIGFO#1;true
SIGRN;true
SIGVR;true
siteste;true
SIATT;true
SIDGO;false
GEITI;true
Gerência de Incidentes - Sineiro;false
SISTN;false
SIFIX;false
Sistema de Administração do Portfólio de Projetos;true
SIVOV_ARQUIVADA;true
OLD - Projeto Governança 2011;true
Piloto de Cenario Agil - CNDESRJ;true
GECSP;true
SIXXX_ARQUIVADA;true
SIAEC;false
Cadastro Único;true
SITDF;false
SITEF_OLD;true
SIMEN;true
SIOPI;false
SIOCR_OLD;true
SIAGD;false
SIAOI#1;true
SILIG;false
SIB24_OLD;true
SIMOS#1;true
SIEPC;false
SIAAR#1;true
SIMON;true
SIRSP;false
SITESTA;true
SISID;true
SINEB;false
SIWMV;true
SICMU;false
SIRNI;true
SIARB;true
SIEOC;true
SINFS;false
SIPSO;true
SICPF_old;true
PEDEP-SP;true
SIU62;true
SICRH;false
Teste - 2011-02-18;true
SIAXS;true
SIGCO;true
SIORM#1;true
SICCH_CLIENTE;false
SIGDI_OLD;true
SICVE;false
SIAFC;false
SIWCC#1;true
CEDESRJ030 - Coordenação Gestão de Pessoas e Recursos;true
SIABE;false
SIICO_SP_OLD;true
SIICO_SP;false
SIICO - TIPOLOGIA DOCUMENTAL#1;true
SICPR#1;true
SIGLO#1;true
SITMO;true
Transição CEDESBR;false
SICRA;false
SIRET;true
SIGLO;false
SIGSI;true
SIGMA#1;true
Coordenação Captar Recursos;false
GPR_OLD;true
SIRUC;false
SIWPS;true
Lixo teste;true
Treinamento_sp1;true
SIINB#1;true
Processo de Mapeamento de Habilidades;false
SISAF_OLD;true
SIRAN_OLD;true
SIATV;false
SITES;true
SIGES#1;true
SITEC;false
SIGJU#1;true
Transição CEDESBR 2012;false
SIICO - FERIADOS RJ;false
SITREINA_CEDESSP;false
Transição CEDESRJ;true
Transição CEDESRJ 2012;false
SICVE#1;true
SICID - RJ;false
SICLI´;true
SIIBC_HOMOLOGAÇÃO;true
SIGDJ_OLD;true
SIPIS_SP_OLD;true
SITREINA_SP;false
SISMB_OLD;true
SIAMT;false
SICSA;false
SIEGH;false
SIALC#1;true
SIMIL#1;true
SIPRE;false
SIFGI;false
SISERRO;true
SIOPF;false
SIFffff;true
SIADJ_OLD;true
SIPVG;true
SICES;false
SIICO - EMPREGADOS;false
SIGMA;true
SIDBN;true
SIREP;false
SIGEP;false
SISFG;false
SITRF;false
SIWFM#1;true
SIPAG;true
SIFAQ;true
SIPEH;true
SIGFI;false
SICJU - Cálculo Judicial#1;true
SIUCP;true
SISTN_OLD;true
SIPAN_OLD;true
SIWFM;false
SICIR - Sistema de Incoerências Contábeis e Apuração de Responsabilidades#1;true
SIPC1;true
SIGIR;true
SIDOU;false
SIARM;true
SIORF#1;true
SIGTE#1;true
SILOG#1;true
SIMGA#1;true
SICHS;true
SIRHM;true
SIICI#1;true
SIAPA#1;true
SIGFIR;true
SIAFR - Atendimento de Feiras#1;true
Gestão de Instâncias;false
SITEL#1;true
SIAFR;false
SICNC;false
SISGT#1;true
SIAGD#1;true
SIAAT;true
SIMGA;false
SISEV;true
SICSA#1;true
SIQDT;true
SISDU#;true
SICTL;true
REDE ACESSO;true
SIGHA;false
SIMOB;false
SISDU;false
SIGSJ_OLD;true
SIGSJ;false
SIGAT_HOMOLOGAÇÃO;false
Central de Incidentes - Brasília;false
SISPL - MPS.BR;true
SIGBC_ant;true
SISIB_OLD;true
SIGAC_OLD;true
Plano Operacional REDEABR;true
SIGAC#1;true
Gestão de Pessoas e Recursos de TI - Brasília;false
SIGNU;false
SIWFS#1;true
Escritório de Projetos - CEDESRJ;true
SIAGT;false
SIINF;false
_SIOPI-rtc2;true
Treinamento RTC;true
SIPLA_OLD_Apagar;true
SIASW - Projeto Governança_RJ;true
Teste;true
SIINE#1;true
SIGAD#1;true
SIGCI;true
SIICO - INDICADORES;false
SIIRC;true
SIDEJ;true
SIAEI;false
SIPLO;false
SICCPTESTE;true
SISFIN;true
Escritório de Projetos CEDESRJ010;true
SIWOC#1;true
SIMST;true
SIOTP#1;true
SIGPC;true
SIGFC;false
SICEL;false
SIARQ;true
SIUCP_old;true
SIJUS_OLD;true
SINCE B;true
MONOMONOMONO;true
TESTEArquiteturaSolucoes;true
SICET;false
SICEL_old;true
SICPJ_OLD;true
