VOB;SITE;SERVIDOR;DATA_CRIACAO;DB_SCHEMA;ACL_HABILITADO;FEATURE_LEVEL;USER_OWNER;COMUNIDADE;POSSUI_GRUPO_DOMAIN_USERS;MODELO_SEGURANCA;TAMANHO;PADRAO_PASTAS;POSSUI_PASTA_MODELAGEM;LOCK_PASTA_FONTES;DESC_PASTA_FONTES;LOCK_PASTA_BUILD;DESC_PASTA_BUILD;DATA_ULTIMA_ALTERACAO_VOB;DATA_ULTIMA_ALTERACAO_FONTES;DATA_ULTIMA_ALTERACAO_BUILD
CAIXA_ADM;BR;CBRSVAPRNT005;2006-10-23 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
ADI;BR;CBRSVAPRNT005;2008-07-08 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO SP - (GRUPOS CS7266);None;None;None;None;None;None;None;None;None;None
ADB;BR;CBRSVAPRNT005;2009-02-04 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO SP - (GRUPOS CS7266);None;None;None;None;None;None;None;None;None;None
CAPACIDADE_PRODUTIVA;BR;CBRSVAPRNT005;2008-12-15 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
CONTRATOS_ADM;BR;CBRSVAPRNT005;2007-09-04 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
CREDITO_ADM;BR;CBRSVAPRNT005;2014-02-20 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
EPROJBR;BR;CBRSVAPRNT005;2006-12-28 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
GMO_ADM;BR;CBRSVAPRNT005;2016-06-20 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
PESCC;BR;CBRSVAPRNT005;2008-12-09 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SEARQ_ADM;BR;CBRSVAPRNT005;2010-11-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
PSGP2_ADM;BR;CBRSVAPRNT005;2009-09-28 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SECON_ADM;BR;CBRSVAPRNT005;2007-09-12 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
GESTAO_PESSOAS_RECURSOS;BR;CBRSVAPRNT005;2011-01-04 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SAI;BR;CBRSVAPRNT005;2009-01-06 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SCA;BR;CBRSVAPRNT005;2009-01-06 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SECAC_ADM;BR;CBRSVAPRNT005;2010-05-13 00:00:00;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIABF;BR;CBRSVAPRNT005;2014-12-01 00:00:00;80;NAO;9;S725925;PROGRAMAS_SOCIAIS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SEGES_SISGS;BR;CBRSVAPRNT005;2011-05-19 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
SEOPI_ADM;BR;CBRSVAPRNT005;2008-12-09 00:00:00;80;NAO;9;S725925;;SIM;SEGMENTO NEGOCIO BR - (GRUPOS DF7390);None;None;None;None;None;None;None;None;None;None
