VOB;SITE;SERVIDOR;DATA_CRIACAO;ROLEMAP_VOB;DB_SCHEMA;ACL_HABILITADO;FEATURE_LEVEL;USER_OWNER;POSSUI_GRUPO_DOMAIN_USERS;MODELO_SEGURANCA
CEFLDAP;SP;CADSVAPRNT002;2009-01-27 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIABE;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIACA;SP;CADSVAPRNT002;2015-07-17 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIACL;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;VELHO
SIADT;SP;CADSVAPRNT002;2008-03-27 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIAGA;SP;CADSVAPRNT002;2008-06-11 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIAGC;SP;CADSVAPRNT002;2013-09-09 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIAFG;SP;CADSVAPRNT002;2007-11-05 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIAIC;SP;CADSVAPRNT002;2018-07-02 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIARS;SP;CADSVAPRNT002;2015-10-28 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIAUP;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIADC;SP;CADSVAPRNT002;2008-03-27 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIATS;SP;CADSVAPRNT002;2009-10-27 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIBAT;SP;CADSVAPRNT002;2015-11-26 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIBCE;SP;CADSVAPRNT002;2018-01-03 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIATR;SP;CADSVAPRNT002;2010-01-21 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIARP;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIBIM;SP;CADSVAPRNT002;2015-11-26 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIATV;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SIBIO;SP;CADSVAPRNT002;2015-11-26 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SIBLC;SP;CADSVAPRNT002;2017-03-31 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
SICAL;SP;CADSVAPRNT002;2017-08-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SICAP;SP;CADSVAPRNT002;2007-11-05 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SICAQ;SP;CADSVAPRNT002;2008-03-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;SIM;NOVO
SICAR;SP;CADSVAPRNT002;2008-01-10 00:00:00;DEFAULTROLEMAP;80;NO;9;S725933;;VELHO
